param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
numspp[169],7.869111111111111,8,0.8983082771180768,7,10
numspp[170],3.7405555555555554,4,0.8334594489152632,3,6
numspp[171],9.922,10,0.9218395731843709,9,12
numspp[172],6.239333333333334,6,1.0617387881967937,5,9
numspp[173],5.230666666666667,5,1.0669934121915583,4,8
numspp[174],5.282555555555556,5,1.070285877390894,4,8
numspp[175],8.430222222222222,8,1.1267183937777705,7,11
numspp[176],4.5857777777777775,4,1.188612279308479,3,7
numspp[177],4.449,4,1.142604069855854,3,7
numspp[178],6.439,6,1.1368476602040354,5,9
numspp[179],2.0157777777777777,2,1.3450968094437719,0,5
numspp[180],6.107,6,1.605564519532214,3,10
numspp[181],3.667111111111111,4,1.5090446611710004,1,7
numspp[182],2.652888888888889,3,1.220797336671867,1,5
numspp[183],2.641111111111111,3,1.2163820888316905,1,5
numspp[184],2.933333333333333,3,1.3077423374325146,1,6
numspp[185],2.974,3,0.9536377966646822,2,5
numspp[186],2.021777777777778,2,0.9901016702492385,1,4
numspp[187],4.703888888888889,5,1.2414778449774402,3,7
numspp[188],3.409,3,1.1247091461382561,2,6
numspp[189],3.772,4,1.2500536270305656,2,6
